,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
134,Santa Rosa,20,AR,1529374206,74,-36.62,-64.29,46.08,9.89
135,Zinder,0,NE,1529374269,59,13.81,8.99,80.28,17.83
136,Neiafu,20,TO,1529373600,69,-18.65,-173.98,80.6,11.41
137,Ust-Nera,44,RU,1529374269,52,64.57,143.24,59.76,2.62
138,Atasu,0,KZ,1529374269,54,48.68,71.64,63.63,7.54
139,Hermanus,64,ZA,1529374270,98,-34.42,19.24,51.3,7.99
140,Polunochnoye,88,RU,1529374270,88,60.87,60.43,58.14,10.45
141,Taltal,0,CL,1529374270,91,-25.41,-70.49,45.81,2.73
142,Batticaloa,0,LK,1529374271,100,7.71,81.69,82.17,4.74
143,Tuy Hoa,68,VN,1529373985,77,13.08,109.3,85.14,13.24
144,Gazanjyk,0,TM,1529374271,45,39.24,55.52,73.98,5.08
145,Mnogovershinnyy,92,RU,1529374272,84,53.94,139.92,54.63,3.4
146,Povenets,64,RU,1529374272,61,62.85,34.83,62.91,8.55
147,Yeniseysk,64,RU,1529374272,47,58.45,92.17,71.28,7.99
148,Jashpurnagar,0,IN,1529374273,63,22.88,84.14,85.23,4.52
149,Shimoda,75,JP,1529371800,56,34.7,138.93,75.2,5.82
150,Shihezi,0,CN,1529374273,37,44.3,86.03,85.23,2.17
151,Alta Floresta,36,BR,1529374043,66,-9.87,-56.08,76.32,2.84
152,Pauini,0,BR,1529374274,84,-7.71,-67,70.02,6.2
153,Bamiantong,80,CN,1529374274,65,44.93,130.53,66.78,7.76
154,Sherlovaya Gora,0,RU,1529374275,65,50.53,116.31,65.34,15.48
155,Touros,68,BR,1529374150,82,-5.2,-35.46,77.94,9.44
156,Bad Wildungen,75,DE,1529373000,87,51.12,9.13,62.6,2.24
157,Solnechnyy,76,RU,1529374275,100,50.72,136.64,50.31,5.97
158,Bilibino,36,RU,1529374276,40,68.06,166.44,61.11,4.52
159,Seymchan,0,RU,1529374276,43,62.93,152.39,68.4,5.75
160,Olga,1,US,1529369880,49,34.11,-118.17,80.6,11.41
161,Tautira,40,PF,1529373600,62,-17.73,-149.15,84.2,4.7
162,Suntar,92,RU,1529374277,65,62.16,117.65,63.18,3.4
163,Sibu,75,MY,1529370000,83,2.29,111.83,77,5.82
164,Kurilsk,64,RU,1529374277,92,45.23,147.88,52.65,9.89
165,Arman,0,RU,1529371800,58,59.7,150.17,57.2,8.95
166,Dole,0,FR,1529371800,100,47.09,5.49,59,3.36
167,Iki-Burul,0,RU,1529371800,67,45.82,44.65,60.8,4.47
168,Matay,0,EG,1529374279,46,28.42,30.79,71.19,6.42
169,Vysha,44,RU,1529374279,78,53.85,42.38,68.04,1.72
170,Antofagasta,90,CL,1529373600,76,-23.65,-70.4,55.4,10.29
171,Zabid,0,YE,1529374280,40,14.2,44.5,52.2,2.73
172,Victoria,75,BN,1529370000,79,5.28,115.24,87.8,1.12
173,Lasa,88,CY,1529371800,78,34.92,32.53,73.4,6.93
174,Katangli,92,RU,1529373981,96,51.71,143.23,47.52,6.64
175,Port Blair,92,IN,1529374281,100,11.67,92.75,80.1,23.31
176,Lotoshino,56,RU,1529374281,82,56.23,35.64,65.88,6.76
177,Zhuanghe,92,CN,1529374282,99,39.7,122.97,66.87,5.97
178,Paita,32,PE,1529374282,96,-5.09,-81.11,63.36,3.74
179,Dagda,68,LV,1529374282,72,56.09,27.54,60.66,8.55
180,Coquimbo,90,CL,1529373600,87,-29.95,-71.34,51.8,2.24
181,Pevek,32,RU,1529374283,69,69.7,170.27,42.84,10.22
182,Vardo,1,US,1529373180,62,39.62,-77.74,87.8,5.82
183,Khani,75,GE,1529371800,100,41.96,42.96,64.4,2.24
184,Kidal,92,ML,1529374284,14,18.44,1.41,91.8,5.75
185,Beringovskiy,0,RU,1529374284,100,63.05,179.32,45.45,1.83
186,Turayf,0,SA,1529370000,49,31.68,38.65,69.8,6.93
187,Kavieng,36,PG,1529374285,100,-2.57,150.8,85.23,2.17
188,Pak Thong Chai,20,TH,1529370000,79,14.73,102.02,84.2,10.29
189,Necochea,20,AR,1529374286,66,-38.55,-58.74,52.47,18.05
190,Kaluga,92,RU,1529374286,95,54.51,36.26,63.54,3.18
191,Manaus,20,BR,1529373600,88,-3.13,-59.98,77,2.24
192,Santiago,0,CL,1529373600,62,-33.44,-70.65,53.6,2.24
193,Terney,68,RU,1529374287,95,45.05,136.61,54.72,9.44
194,Atrauli,8,IN,1529374288,55,28.04,78.28,92.43,4.63
195,Tabuk,48,PH,1529374288,81,17.41,121.44,79.56,0.94
196,Zuwarah,0,LY,1529374289,99,32.93,12.08,69.75,9.78
197,Verkhoyansk,0,RU,1529374289,62,67.55,133.39,67.95,4.97
198,Shenjiamen,32,CN,1529374289,90,29.96,122.3,79.2,14.7
199,Vitoria de Santo Antao,40,BR,1529373600,74,-8.12,-35.29,78.8,6.93
200,Pingliang,68,CN,1529374290,83,35.54,106.68,70.74,4.18
201,Matara,0,PE,1529374290,78,-13.74,-72.9,28.26,1.83
202,Nyurba,24,RU,1529374291,45,63.29,118.35,69.3,3.74
203,Storforshei,92,NO,1529374291,100,66.4,14.52,38.61,1.39
204,Maceio,75,BR,1529373600,94,-9.67,-35.74,71.6,4.7
205,Bandarbeyla,0,SO,1529374292,86,9.49,50.81,76.86,26.33
206,Puerto Maldonado,0,PE,1529374292,88,-12.59,-69.19,63.27,2.17
207,Tezu,80,IN,1529374292,91,27.93,96.16,70.11,0.94
208,Harper,1,US,1529373060,48,30.3,-99.24,87.8,13.87
209,Prudentopolis,68,BR,1529374293,99,-25.21,-50.98,48.24,2.73
210,Mollendo,92,PE,1529374293,97,-17.03,-72.02,56.61,1.83
211,Pasni,0,PK,1529374294,93,25.26,63.48,85.23,6.98
212,Undory,0,RU,1529370000,67,54.61,48.39,59,2.24
213,Santo Antonio,32,BR,1529374294,82,-4.7,-40.67,70.38,5.41
214,Abu Kamal,0,SY,1529374295,54,34.45,40.92,70.2,5.86
215,Yerofey Pavlovich,80,RU,1529374295,55,53.97,121.97,61.38,8.32
216,Mauganj,20,IN,1529374295,38,24.67,81.88,95.49,8.88
217,Nemuro,75,JP,1529370000,100,43.32,145.57,59,9.17
218,Langarud,75,IR,1529370000,94,37.2,50.15,73.4,13.24
219,Ruwi,0,OM,1529369400,58,23.6,58.55,87.8,3.36
220,Presidencia Roque Saenz Pena,0,AR,1529374296,82,-26.79,-60.44,51.75,10.11
221,Anandnagar,40,IN,1529371800,88,18.71,73.3,80.6,6.93
222,Bhalki,56,IN,1529374297,96,18.04,77.21,72.36,15.26
223,Yatou,75,CM,1529370000,100,3.63,9.81,73.4,2.24
224,Dindori,32,IN,1529374298,91,22.94,81.08,78.03,6.64
225,Ust-Tsilma,0,RU,1529374298,65,65.44,52.15,55.98,3.4
226,Rio Grande,0,BR,1529374299,95,-32.03,-52.1,46.89,6.98
227,Krasnooktyabrskiy,0,RU,1529371800,82,44.93,38.37,59,6.71
228,Turbat,0,PK,1529374299,70,26,63.05,82.08,4.41
229,Dalbandin,0,PK,1529374300,13,28.9,64.41,84.42,3.74
230,Molina,90,CL,1529373600,100,-35.11,-71.28,42.8,3.36
231,Benghazi,40,LY,1529369880,82,32.12,20.07,66.2,6.87
232,Urozhaynoye,92,RU,1529374301,93,47.7,142.03,58.77,8.99
233,Yaita,75,JP,1529370000,100,36.8,139.92,69.8,3.36
234,Zhigansk,0,RU,1529374301,41,66.77,123.37,64.53,8.88
235,Vaitape,92,PF,1529374013,100,-16.52,-151.75,78.21,16.15
236,Vidim,0,CZ,1529371800,87,50.47,14.53,60.8,8.05
237,San Luis,12,AR,1529374303,57,-33.3,-66.34,49.86,11.45
238,Ipixuna,0,BR,1529373600,94,-1.76,-48.8,75.2,4.7
239,Marzuq,0,YE,1529374303,71,14.4,46.47,58.5,2.39
240,Andradina,0,BR,1529374304,69,-20.89,-51.38,63.36,8.88
241,Xichang,88,CN,1529374304,93,27.88,102.25,63.99,1.61
242,Katsuura,75,JP,1529370360,94,33.93,134.5,71.6,18.34
243,Erzin,40,TR,1529371200,88,36.95,36.2,73.4,4.7
244,Verkhnevilyuysk,0,RU,1529374045,41,63.45,120.31,65.7,3.51
245,Zhanaozen,24,KZ,1529374305,27,43.35,52.85,73.35,11.23
246,Birin,80,SY,1529374306,93,35.01,36.67,66.15,7.65
247,Atbasar,8,KZ,1529374306,95,51.81,68.36,55.8,7.99
248,Rosetta,0,EG,1529370000,83,31.4,30.42,73.4,2.24
249,Berezovyy,92,RU,1529374307,100,51.67,135.7,45.18,3.74
250,Eyl,8,SO,1529374307,84,7.98,49.82,77.22,21.97
251,Mecca,0,SA,1529370000,36,21.43,39.83,91.4,2.06
252,Swinoujscie,20,PL,1529371800,72,53.91,14.25,62.6,2.24
253,Novyy Urgal,92,RU,1529374308,100,51.07,132.56,57.69,1.28
254,San Cristobal,75,EC,1529373600,87,-0.39,-78.55,50,13.87
255,Orlik,56,RU,1529374309,64,52.51,99.83,60.3,2.51
256,Mikhaylovka,8,RU,1529374309,57,52.96,103.29,72.9,9.78
257,Galle,20,US,1529373060,74,29.74,-97.91,82.4,10.29
258,Narwana,0,IN,1529374310,63,29.6,76.12,91.8,4.63
259,Chota,36,EC,1529374310,90,0.47,-78.07,44.91,2.28
260,Simeria,0,RO,1529374310,91,45.85,23.01,53.19,2.28
261,Aykhal,0,RU,1529374311,62,65.95,111.51,68.58,5.53
262,Chaoyang,36,CN,1529374311,92,41.58,120.44,71.82,5.97
263,Alindao,92,CF,1529374311,99,5.04,21.21,68.4,7.99
264,Sakaiminato,75,JP,1529370000,57,35.55,133.23,80.6,2.24
265,Piacabucu,76,BR,1529374312,96,-10.41,-36.43,68.76,2.95
266,Komsomolskiy,56,RU,1529374312,93,67.55,63.78,41.13,18.72
267,Diveyevo,20,RU,1529374313,73,55.04,43.25,69.66,4.18
268,Shiyan,92,CN,1529374313,99,32.65,110.78,69.39,2.73
269,Itaituba,20,BR,1529374313,97,-4.26,-55.99,74.34,2.17
270,Vilyuysk,12,RU,1529374313,39,63.75,121.63,67.5,4.18
271,Santa Isabel do Rio Negro,92,BR,1529374314,100,-0.41,-65.02,72.18,3.62
272,Tura,36,IN,1529374314,92,25.52,90.21,81.18,3.4
273,Ust-Ordynskiy,0,RU,1529371800,49,52.8,104.75,71.6,8.95
274,Pomabamba,0,PE,1529374315,73,-8.82,-77.46,32.31,1.39
275,Nago,20,IT,1529371200,82,45.88,10.89,73.4,3.36
276,Lebedinyy,92,RU,1529374315,65,58.52,125.52,59.94,3.74
277,Bom Jesus da Lapa,0,BR,1529374315,81,-13.25,-43.41,65.43,8.77
278,Hambantota,76,LK,1529374316,99,6.12,81.12,80.46,13.47
279,Talnakh,68,RU,1529374316,81,69.49,88.39,57.6,4.18
280,Phuket,75,TH,1529371800,70,7.89,98.4,84.2,9.17
281,Ilhabela,44,BR,1529374317,100,-23.78,-45.36,68.85,17.49
282,Mardin,0,TR,1529369400,60,37.32,40.72,68,4.7
283,Raxaul,0,IN,1529374318,72,26.98,84.85,89.28,4.97
284,Sao Desiderio,48,BR,1529374318,60,-12.36,-44.97,68.13,11.12
285,Gustrow,20,DE,1529371200,93,53.8,12.17,60.8,6.93
286,Kuzino,44,RU,1529374319,95,57.02,59.44,58.23,4.74
287,Laguna,5,MX,1529372880,15,27.52,-110.01,89.6,5.82
288,Nogent-le-Rotrou,0,FR,1529371800,87,48.32,0.82,60.8,9.17
289,Tigzirt,0,DZ,1529374320,96,36.57,4.2,51.93,1.95
290,Manbij,0,SY,1529371200,72,36.53,37.96,66.2,3.36
291,Nishihara,40,JP,1529371800,69,35.74,139.53,77,8.05
292,Nkoteng,92,CM,1529374321,100,4.5,12.12,68.13,8.77
293,Tamsweg,20,AT,1529371200,82,47.13,13.81,55.4,5.82
294,Enshi,92,CN,1529374322,100,30.29,109.48,70.29,3.29
295,Alanya,20,TR,1529374322,100,36.55,32,67.68,2.39
296,Marawi,12,PH,1529374322,59,8,124.29,85.5,1.83
297,Point Pedro,32,LK,1529374322,92,9.82,80.23,84.06,23.87
298,Shirokiy,0,RU,1529374323,65,53.87,39.17,65.25,2.73
299,Beaune,90,FR,1529371800,93,47.02,4.84,59,2.24
300,Namatanai,24,PG,1529374324,95,-3.66,152.44,85.23,4.18
301,Buraydah,0,SA,1529370000,35,26.33,43.97,84.2,3.36
302,Baiyin,0,CN,1529370000,56,36.55,104.13,68,4.47
303,Mehamn,0,NO,1529374324,89,71.03,27.85,53.73,11.12
304,Srednekolymsk,36,RU,1529374325,44,67.46,153.71,56.34,5.41
305,Seoul,75,KR,1529371800,73,37.57,126.98,77,4.7
306,Thanh Hoa,24,VN,1529374325,87,10.21,106.33,84.24,11.79
307,Nossa Senhora da Gloria,68,BR,1529374326,99,-10.22,-37.42,69.21,3.74
308,Patiya,40,BD,1529370000,83,22.3,91.98,84.2,5.82
309,Batsfjord,0,NO,1529374326,80,70.63,29.72,51.48,13.8
310,Slavuta,0,UA,1529374326,93,50.3,26.87,64.26,2.95
311,Chara,40,GR,1529369400,77,39.42,22.43,68,6.93
312,Kasese,92,UG,1529374327,100,0.17,30.09,65.61,1.83
313,Mokhsogollokh,80,RU,1529374328,73,61.4,128.95,63.9,4.41
314,Trat,75,TH,1529370000,94,12.25,102.51,82.4,9.17
315,Petukhovo,92,RU,1529374328,95,55.06,67.89,55.08,12.68
316,Dhidhdhoo,80,MV,1529374329,98,6.88,73.1,83.52,17.05
317,Vila Velha,75,BR,1529373600,83,-3.71,-38.6,78.8,8.05
318,Doos,0,DE,1529373360,87,49.47,11.02,57.2,5.82
319,Zeya,8,RU,1529374331,62,53.74,127.27,58.05,6.2
320,Adamovka,0,RU,1529374331,59,51.52,59.94,64.44,7.43
321,Hue,0,VN,1529371800,70,16.47,107.58,87.8,4.7
322,Ayan,88,TR,1529374332,98,40.67,33.6,53.37,2.62
323,Loukhi,48,RU,1529374332,86,66.08,33.04,59.04,3.18
324,Kem,76,UG,1529374333,98,2.68,33.77,61.38,3.96
325,Sabang,32,PH,1529374333,87,13.72,123.58,86.76,4.41
326,Laem Sing,75,TH,1529370000,94,12.48,102.07,82.4,9.17
327,Bandar,12,ID,1529374334,70,-4.2,104.14,85.5,8.21
328,Pljevlja,90,ME,1529371800,100,43.36,19.36,57.2,6.93
329,Falam,20,MM,1529374334,78,22.91,93.68,78.21,1.95
330,Quang Ngai,48,VN,1529374335,66,15.12,108.8,85.95,4.41
331,Kodarma,0,IN,1529374335,40,24.47,85.59,97.83,2.95
332,Juazeiro,75,BR,1529373600,73,-9.43,-40.51,73.4,14.99
333,Khasan,20,RU,1529374336,82,42.43,130.64,64.8,2.73
334,Karatsu,75,JP,1529371800,83,33.45,129.97,73.4,20.8
335,Pangoa,32,PE,1529374336,93,-12.12,-73,60.39,1.95
336,Libreville,75,GA,1529371800,78,0.39,9.45,78.8,10.29
337,Szczecinek,0,PL,1529374337,76,53.71,16.69,60.57,10.78
338,Omsukchan,32,RU,1529374337,55,62.53,155.8,62.1,2.62
339,Parabel,92,RU,1529374337,99,58.71,81.5,56.88,5.41
340,Batagay-Alyta,8,RU,1529374335,83,67.8,130.41,59.04,4.97
341,Belmonte,12,PT,1529374338,67,40.36,-7.35,61.83,5.41
342,Alakurtti,56,RU,1529374338,88,66.96,30.34,53.46,6.31
343,Pozo Colorado,0,PY,1529374339,78,-23.49,-58.8,53.64,5.08
344,Yanacancha,12,PE,1529374339,100,-10.53,-76.18,28.62,2.62
345,Janakkala,20,FI,1529374339,70,60.93,24.67,57.24,7.65
346,Eregli,64,TR,1529374340,94,37.51,34.05,55.08,3.85
347,San Policarpo,56,PH,1529374340,95,12.18,125.51,85.23,3.51
348,Chumikan,92,RU,1529374340,97,54.72,135.31,39.24,14.14
349,Birobidzhan,92,RU,1529374341,84,48.79,132.93,65.61,12.01
350,Asyut,0,EG,1529370000,47,27.18,31.19,80.6,3.96
351,Imeni Poliny Osipenko,92,RU,1529374320,99,52.42,136.49,46.44,12.01
352,Bud,76,NO,1529373000,71,62.91,6.91,50,12.75
353,Union,1,US,1529373180,35,47.36,-123.1,87.8,6.93
354,Beyneu,0,KZ,1529374343,32,45.32,55.19,72.9,4.41
355,Miri,80,NG,1529374343,79,10.31,9.75,72.81,14.25
356,Jalu,0,LY,1529374343,63,29.03,21.55,68.4,7.2
357,Yar-Sale,92,RU,1529374344,86,66.83,70.83,43.65,11.34
358,Baykit,0,RU,1529374344,63,61.68,96.39,74.43,4.63
359,Brekstad,75,NO,1529373000,87,63.69,9.67,48.2,9.17
360,San Miguel,0,AR,1529373600,71,-34.54,-58.72,55.4,4.7
361,Abalak,88,NE,1529374346,41,15.46,6.28,80.73,13.24
362,Bumba,64,CD,1529374347,100,2.18,22.47,68.31,3.96
363,Paraiba do Sul,88,BR,1529374105,100,-22.16,-43.29,61.11,2.73
364,Ugoofaaru,36,MV,1529374347,98,5.67,73,83.25,13.8
365,Garmsar,0,IR,1529374348,37,35.22,52.34,65.88,2.28
366,Guarapari,75,BR,1529373600,88,-20.67,-40.5,69.8,9.17
367,Pandan,44,PH,1529374348,99,11.72,122.09,84.87,8.21
368,Salinas,1,US,1529373300,68,36.67,-121.66,64.4,16.11
369,Riyadh,0,SA,1529370000,15,24.63,46.72,82.4,4.7
370,Santa Luzia,0,BR,1529373600,77,-19.77,-43.85,62.6,4.7
371,Goure,20,NE,1529374350,45,13.98,10.27,84.51,16.82
372,Camocim,56,BR,1529374351,98,-2.9,-40.84,73.35,8.43
373,Gonbad-e Qabus,0,IR,1529374351,71,37.25,55.17,70.29,4.41
374,Shieli,92,KZ,1529374351,23,44.18,66.74,73.08,7.2
375,Kifri,0,IQ,1529374352,36,34.69,44.96,73.98,6.08
376,Fiumicino,0,IT,1529371200,68,41.77,12.23,68,8.05
